publishing_body,tool_name,published,url
,AI Writing Assistant (Social Care),2025-11-10T12:20:06Z,https://www.gov.uk/algorithmic-transparency-records/ai-writing-assistant-social-care
Barnet Council,Ami Chatbot,2025-01-28T07:12:03Z,https://www.gov.uk/algorithmic-transparency-records/barnet-council-ami-chatbot
Cabinet Office,Automated Digital Document Review,2024-02-29T17:48:00Z,https://www.gov.uk/algorithmic-transparency-records/cabinet-office-automated-digital-document-review
DBT,Expenses Fraud Detector,2025-02-27T07:59:21Z,https://www.gov.uk/algorithmic-transparency-records/dbt-expenses-fraud-detector
DfE,Virtual Assistant for Education Providers and Learners (Davina),2025-04-04T10:02:25Z,https://www.gov.uk/algorithmic-transparency-records/dfe-virtual-assistant-for-education-providers-and-learners-davina
DSIT,Ask Ops Chatbot,2024-12-17T08:00:31Z,https://www.gov.uk/algorithmic-transparency-records/dsit-ask-ops-chatbot
FCDO,Consular Digital Triage - Written Enquiries LLM,2024-12-17T08:01:01Z,https://www.gov.uk/algorithmic-transparency-records/fcdo-consular-digital-triage-written-enquiries-llm
HMRC,Logo Detection and Classification Toolkit (LDK),2025-02-10T07:52:40Z,https://www.gov.uk/algorithmic-transparency-records/hmrc-logo-detection-and-classification-toolkit-ldk
MoJ,Data First (Splink),2024-12-17T08:01:45Z,https://www.gov.uk/algorithmic-transparency-records/moj-data-first-splink
NS&I,PolyAI,2025-10-30T08:02:23Z,https://www.gov.uk/algorithmic-transparency-records/ns-and-i-polyai
Welsh Government,Dylun - A content design assistant,2025-07-11T08:33:22Z,https://www.gov.uk/algorithmic-transparency-records/welsh-government-dylun-a-content-design-assistant
DBT,Business Growth Service AI Summariser,2025-10-16T07:34:44Z,https://www.gov.uk/algorithmic-transparency-records/dbt-business-growth-service-ai-summariser
DESNZ,Find ways to save energy in your home,2026-03-30T09:18:16Z,https://www.gov.uk/algorithmic-transparency-records/desnz-find-ways-to-save-energy-in-your-home
DESNZ,Green Deal Reduction Calculator,2025-12-16T11:52:15Z,https://www.gov.uk/algorithmic-transparency-records/desnz-green-deal-reduction-calculator
DESNZ,Warm Home Discount Eligibility - Energy Cost Modelling,2025-03-02T07:58:06Z,https://www.gov.uk/algorithmic-transparency-records/desnz-warm-home-discount-eligibility-energy-cost-modelling
Dorset Council,Formulate for Adult Social Care,2025-01-28T07:08:22Z,https://www.gov.uk/algorithmic-transparency-records/dorset-council-formulate-for-adult-social-care
DWP,CMG Return Letters processing,2025-12-22T14:05:09Z,https://www.gov.uk/algorithmic-transparency-records/dwp-cmg-return-letters-processing
